uniprot,predictive,VIP
A0A087WUF6,-2.6368,1.1626
A0A087WUS0,2.0225,0.62156
A0A087WUT6,5.2994,1.9871
A0A087WUW9,-0.62005,0.23711
A0A087WV05,2.2567,0.63235
A0A087WVA1,3.8247,1.4215
A0A087WVA8,0.40283,0.30556
A0A087WVD1,-1.5994,0.34301
A0A087WVQ6,1.4074,0.40233
A0A087WVV1,-0.46947,0.042227
A0A087WVZ0,2.8471,1.0412
A0A087WW40,-1.6812,0.85007
A0A087WWF6,-0.45004,0.062175
A0A087WWK8,-3.6109,1.2091
A0A087WWM0,1.7167,0.63786
A0A087WWS1,0.17419,0.12412
A0A087WWT1,1.0274,0.14179
A0A087WXD1,-0.097373,0.19278
A0A087WXF8,2.7531,1.1696
A0A087WXL6,-4.136,1.7329
A0A087WY31,1.2653,0.36216
A0A087WYF7,-3.0891,1.3014
A0A087WYG2,1.5009,0.78657
A0A087WYL7,0.13399,0.42961
A0A087WYV9,-1.3593,0.71088
A0A087WZ30,-0.38152,0.16533
A0A087WZ62,2.0047,0.87182
A0A087WZE9,1.9087,0.63269
A0A087WZN1,3.4538,1.7183
A0A087WZQ7,-2.9093,1.0319
A0A087WZT3,-0.092363,0.26388
A0A087X020,1.6091,0.52955
A0A087X0M0,2.9831,1.1524
A0A087X0N3,-0.96823,0.16604
A0A087X0R6,-3.1134,1.4323
A0A087X0V5,2.8384,1.2264
A0A087X0W9,1.023,0.37734
A0A087X127,2.5103,1.3779
A0A087X1E4,-3.2942,1.4289
A0A087X1I8,1.3633,0.36723
A0A087X1N7,-2.5406,1.1166
A0A087X1N8,-0.79605,0.024842
A0A087X1R1,0.72521,0.37158
A0A087X1U6,-2.7465,0.97429
A0A087X1Z1,0.26078,0.10844
A0A087X1Z3,2.3322,0.8978
A0A087X211,2.5966,0.96789
A0A087X243,-1.1067,0.43609
A0A087X266,-0.57829,0.060853
A0A087X295,0.046213,0.30613
A0A087X2I1,-0.078025,0.39921
A0A088AWN2,2.3461,0.54563
A0A090N7T9,-3.4369,1.6091
A0A090N7Y2,4.388,1.7359
A0A090N8E9,5.3559,2.3283
A0A090N8G7,-0.45364,0.22495
A0A090N8N0,2.1063,0.69168
A0A090N8P3,4.6132,1.7939
A0A090N8Q3,2.278,0.72375
A0A090N8Y5,-3.2906,1.249
A0A090N8Y8,-2.8468,1.412
A0A096LNH0,0.98949,0.51845
A0A096LNK9,0.30064,0.41603
A0A096LP01,3.242,1.4862
A0A096LP25,-2.7678,1.0711
A0A096LP55,0.81367,0.57612
A0A096LPC5,0.87474,0.50126
A0A096LPI6,-3.6235,1.2973
A0A096WXL7,-0.77532,0.021098
A0A097PID1,-5.5277,2.2661
A0A0A0MQR1,-0.26615,0.4404
A0A0A0MQS1,0.13967,0.17005
A0A0A0MQS2,-0.19632,0.0077888
A0A0A0MQS6,-0.75107,0.13933
A0A0A0MQU4,-1.6018,0.42892
A0A0A0MQX1,-1.7108,0.61199
A0A0A0MQX8,-5.0758,2.1959
A0A0A0MR39,-3.9849,1.7901
A0A0A0MR51,4.8641,2.0608
A0A0A0MR66,-0.6157,0.086732
A0A0A0MRC4,-1.9958,0.81313
A0A0A0MRI2,-2.6924,1.1085
A0A0A0MRJ3,0.91593,0.5579
A0A0A0MRK6,1.4733,0.72436
