uniprot,predictive,VIP
A0A024RDK9,2.7661,1.4441
A0A024RDL9,-3.3777,1.7633
A0A024RDM4,-1.9173,1.0227
A0A024RDQ7,0.45687,0.21866
A0A024RDQ8,-2.9663,1.5218
A0A024RDQ9,1.2352,0.575
A0A024RDR0,1.7024,0.7906
A0A024RDS1,2.1454,1.0366
A0A024RDS3,0.70905,0.43631
A0A024RDS7,-1.2247,0.55932
A0A024RDT4,3.1247,1.5913
A0A024RDT6,3.4263,1.7064
A0A024RDT9,3.5654,1.8817
A0A024RDV7,-0.89092,0.44969
A0A024RDV9,2.6687,1.3505
A0A024RDX3,1.6214,0.76989
A0A024RDY0,-0.77065,0.5064
A0A024RDZ2,-1.5331,0.78696
A0A024RE02,1.8817,1.0044
A0A059QFD5,-1.445,0.67432
A0A067XG54,2.0506,1.1178
A0A068F7M9,2.2028,1.1256
A0A068W6W9,0.19082,0.075721
A0A075B6F3,-0.37148,0.12456
A0A075B6G3,0.45524,0.22323
A0A075B746,-1.8418,0.83719
A0A075B747,0.057539,0.15182
A0A075B749,-0.8831,0.4588
A0A075B7F8,-1.9384,1.0899
A0A075B7G2,1.511,0.78441
A0A087WSV0,-0.34961,0.11353
A0A087WSV8,3.5995,1.8768
A0A087WSW2,-1.9401,0.9342
A0A087WT12,2.6795,1.2933
A0A087WT23,2.818,1.5765
A0A087WT42,2.9363,1.4026
A0A087WT44,-0.62802,0.44267
A0A087WTW0,-0.47266,0.38916
A0A087WU53,0.25693,0.25538
A0A087WUB9,2.5844,1.288
A0A087WUC6,-2.0303,0.94501
A0A087WUF6,-3.3939,1.8207
A0A087WUS0,-0.49384,0.24339
A0A087WUT6,-1.5947,0.78762
A0A087WUW9,1.6961,0.97324
A0A087WV05,1.7979,0.82103
A0A087WVA1,1.1564,0.54792
A0A087WVA8,0.30058,0.1234
A0A087WVD1,-0.44411,0.28505
A0A087WVP1,1.7369,0.83389
A0A087WVQ6,0.070717,0.1759
A0A087WW40,0.36542,0.25864
A0A087WWD4,-1.6918,0.8919
A0A087WWF6,-1.2216,0.57689
A0A087WWK8,-2.6291,1.2436
A0A087WWM0,-0.94059,0.57124
A0A087WWP8,-1.7902,0.89265
A0A087WWS1,-1.8025,0.85397
A0A087WWT1,-0.57413,0.25381
A0A087WXD1,1.9591,0.99145
A0A087WXD9,1.1531,0.49667
A0A087WXF8,0.061127,0.076811
A0A087WXK8,1.673,0.9739
A0A087WXL6,-3.0307,1.5956
A0A087WY31,1.3325,0.67709
A0A087WY96,2.4141,1.3308
A0A087WYF7,-1.5135,0.74503
A0A087WYL7,0.015043,0.020628
A0A087WYV9,0.2531,0.20923
A0A087WZ30,-0.0055435,0.019227
A0A087WZ40,-1.2643,0.67858
A0A087WZ62,0.69439,0.45688
A0A087WZN1,-1.5608,0.73586
A0A087WZT3,1.9376,0.94204
A0A087X020,-2.9957,1.4917
A0A087X0M0,-1.962,0.93369
A0A087X0N2,-0.54323,0.26795
A0A087X0N3,1.8137,0.87201
A0A087X0R6,-2.4368,1.2799
A0A087X0V5,1.418,0.82011
A0A087X0W9,-1.1754,0.59418
A0A087X117,0.036094,0.16857
A0A087X127,-0.082132,0.011587
A0A087X169,-1.852,0.86225
A0A087X1E4,-0.48742,0.2199
A0A087X1I8,3.6481,1.906
A0A087X1N7,-3.5015,1.7966
A0A087X1N8,-0.7104,0.51866
A0A087X1R1,-0.84593,0.53993
A0A087X1U6,-2.5435,1.3537
A0A087X1Z1,0.35766,0.17048
A0A087X1Z3,1.5042,0.87726
A0A087X211,-1.2821,0.60656
A0A087X254,3.5031,1.8375
A0A087X266,1.8567,0.94708
A0A087X295,-1.7168,0.83931
A0A087X2I1,3.5804,1.7764
A0A090N7T9,0.17547,0.11557
A0A090N7Y2,-0.293,0.23981
A0A090N8E9,1.414,0.76799
A0A090N8G7,-0.090676,0.11262
A0A090N8N0,0.42947,0.13652
A0A090N8P3,-1.193,0.63363
A0A090N8Q3,2.039,1.1522
A0A090N8Y5,0.60959,0.20942
A0A090N8Y8,2.1818,1.1259
A0A096LNH0,0.62678,0.24819
A0A096LNX8,-3.5261,1.7778
A0A096LP25,-2.6268,1.3651
A0A096LP55,1.4032,0.82454
A0A096LPC5,0.83953,0.54949
A0A096LPI6,-1.6587,0.75939
A0A096WXL7,-1.8641,0.9925
A0A097PID1,-3.2256,1.6837
A0A0A0MQR1,-1.0382,0.6061
A0A0A0MQS1,3.3013,1.8408
A0A0A0MQS2,2.4028,1.1802
A0A0A0MQS6,-1.9315,0.89266
A0A0A0MQT0,-0.48865,0.44725
A0A0A0MQU4,1.9946,0.88389
A0A0A0MQX1,1.2153,0.68217
A0A0A0MQX8,-1.5856,0.87346
A0A0A0MR39,-2.7108,1.4143
A0A0A0MR51,2.811,1.3483
A0A0A0MR66,1.2581,0.5213
A0A0A0MRB5,2.3442,1.1353
A0A0A0MRC4,-0.43079,0.0049376
