#ncbi_taxid	child_cluster_id	parent_cluster_id
9606	CL:15369	CL:15368
9606	CL:1537	CL:1536
9606	CL:15370	CL:15369
9606	CL:15372	CL:15370
9606	CL:15373	CL:15372
9606	CL:15374	CL:15373
9606	CL:15375	CL:15374
9606	CL:1539	CL:1537
9606	CL:15391	CL:15374
9606	CL:15404	CL:15373
9606	CL:15416	CL:15372
9606	CL:15435	CL:15369
9606	CL:15437	CL:15435
9606	CL:15438	CL:15437
9606	CL:15451	CL:15437
9606	CL:15465	CL:15435
9606	CL:15476	CL:15368
9606	CL:15478	CL:15476
9606	CL:15480	CL:15478
9606	CL:15512	CL:15366
9606	CL:15553	CL:15357
9606	CL:15563	CL:14554
9606	CL:15566	CL:15563
9606	CL:15568	CL:15566
9606	CL:15571	CL:15568
9606	CL:15572	CL:15571
9606	CL:15575	CL:15572
9606	CL:15578	CL:15575
9606	CL:15601	CL:15572
9606	CL:15613	CL:15571
9606	CL:15615	CL:15613
9606	CL:1562	CL:1536
9606	CL:15659	CL:15563
9606	CL:15662	CL:15659
9606	CL:15685	CL:14553
9606	CL:15686	CL:15685
9606	CL:15687	CL:15686
9606	CL:15689	CL:15687
9606	CL:15691	CL:15689
9606	CL:15694	CL:15691
9606	CL:15718	CL:15689
9606	CL:15721	CL:15718
9606	CL:15748	CL:15687
9606	CL:15762	CL:15686
9606	CL:15763	CL:15762
9606	CL:15765	CL:15763
9606	CL:1577	CL:1326
9606	CL:15779	CL:15763
9606	CL:15789	CL:15762
9606	CL:158	CL:148
9606	CL:15803	CL:15685
9606	CL:15805	CL:15803
9606	CL:15806	CL:15805
9606	CL:15808	CL:15806
9606	CL:15809	CL:15808
9606	CL:15824	CL:15808
9606	CL:15846	CL:15805
9606	CL:15863	CL:15803
9606	CL:15876	CL:14552
9606	CL:15878	CL:15876
9606	CL:15879	CL:15878
9606	CL:15880	CL:15879
9606	CL:15883	CL:15880
9606	CL:15886	CL:15883
9606	CL:15910	CL:15879
9606	CL:15924	CL:15878
9606	CL:15938	CL:15876
9606	CL:1595	CL:1325
9606	CL:15953	CL:14551
9606	CL:1596	CL:1595
9606	CL:15966	CL:14550
9606	CL:15975	CL:14549
9606	CL:15976	CL:15975
9606	CL:15977	CL:15976
9606	CL:15978	CL:15977
9606	CL:15979	CL:15978
9606	CL:15980	CL:15979
9606	CL:15982	CL:15980
9606	CL:15984	CL:15982
9606	CL:15985	CL:15984
9606	CL:15986	CL:15985
9606	CL:15988	CL:15986
9606	CL:15989	CL:15988
9606	CL:1599	CL:1596
9606	CL:15991	CL:15989
9606	CL:15992	CL:15991
9606	CL:15994	CL:15992
9606	CL:15996	CL:15994
9606	CL:15999	CL:15996
9606	CL:16000	CL:15999
9606	CL:16001	CL:16000
9606	CL:16003	CL:16001
9606	CL:16004	CL:16003
9606	CL:16005	CL:16004
9606	CL:16008	CL:16005
9606	CL:1601	CL:1599
9606	CL:16010	CL:16008
9606	CL:16012	CL:16010
9606	CL:1602	CL:1601
9606	CL:1603	CL:1602
9606	CL:16036	CL:16008
9606	CL:1604	CL:1603
9606	CL:1605	CL:1604
9606	CL:16051	CL:16005
9606	CL:1606	CL:1605
9606	CL:16062	CL:16004
9606	CL:16064	CL:16062
9606	CL:1607	CL:1606
9606	CL:16081	CL:16003
9606	CL:1610	CL:1607
9606	CL:16101	CL:16000
9606	CL:16104	CL:16101
9606	CL:16107	CL:16104
9606	CL:16110	CL:16107
9606	CL:16112	CL:16110
9606	CL:16163	CL:15999
9606	CL:16180	CL:15996
9606	CL:16181	CL:16180
9606	CL:16183	CL:16181
9606	CL:16186	CL:16183
9606	CL:16189	CL:16186
9606	CL:16224	CL:16180
9606	CL:16240	CL:15994
9606	CL:16243	CL:16240
9606	CL:16245	CL:16243
9606	CL:16283	CL:15991
9606	CL:16305	CL:15988
9606	CL:16324	CL:15986
9606	CL:16326	CL:16324
9606	CL:16328	CL:16326
9606	CL:1633	CL:1606
9606	CL:16361	CL:15985
9606	CL:16363	CL:16361
9606	CL:16386	CL:15984
9606	CL:16387	CL:16386
9606	CL:16391	CL:16387
9606	CL:16406	CL:16387
9606	CL:16421	CL:16386
9606	CL:16422	CL:16421
9606	CL:1643	CL:1605
9606	CL:16431	CL:16421
9606	CL:1646	CL:1643
9606	CL:16472	CL:15979
9606	CL:16473	CL:16472
9606	CL:16474	CL:16473
9606	CL:16475	CL:16474
9606	CL:16477	CL:16475
9606	CL:16478	CL:16477
9606	CL:16480	CL:16478
9606	CL:16483	CL:16480
9606	CL:16484	CL:16483
9606	CL:16493	CL:16483
9606	CL:16506	CL:16480
9606	CL:16531	CL:16477
9606	CL:16534	CL:16531
9606	CL:16536	CL:16534
9606	CL:16574	CL:16474
9606	CL:16589	CL:16473
9606	CL:16590	CL:16589
9606	CL:16592	CL:16590
9606	CL:16611	CL:16589
9606	CL:16629	CL:16472
9606	CL:16632	CL:16629
9606	CL:1667	CL:1604
9606	CL:16670	CL:15978
9606	CL:16671	CL:16670
9606	CL:16672	CL:16671
9606	CL:16674	CL:16672
9606	CL:16695	CL:16672
9606	CL:16708	CL:16671
9606	CL:16722	CL:16670
9606	CL:16733	CL:15977
9606	CL:16735	CL:16733
9606	CL:16736	CL:16735
9606	CL:16737	CL:16736
9606	CL:16738	CL:16737
9606	CL:16739	CL:16738
9606	CL:16741	CL:16739
9606	CL:16744	CL:16741
9606	CL:16763	CL:16741
9606	CL:16784	CL:16739
9606	CL:16786	CL:16784
9606	CL:16788	CL:16786
9606	CL:16816	CL:16738
9606	CL:16817	CL:16816
9606	CL:16819	CL:16817
9606	CL:16820	CL:16819
9606	CL:16822	CL:16820
